code	company_code	support_code
1	perusion	consulting
20	spinlock	hosting
4	linuxia	consulting
5	linuxia	development
6	linuxia	hosting
7	tenalt	consulting
8	tenalt	development
9	perusion	development
10	perusion	hosting
11	3edge	consulting
12	3edge	development
13	endpoint	consulting
14	endpoint	development
15	spinlock	development
16	spinlock	consulting
17	cursor	consulting
18	cursor	development
19	cursor	hosting
21	endpoint	hosting
22	alamerce	consulting
23	alamerce	hosting
24	alamerce	hosting
